repo_age,logger/lloc
1855.90,0.0056
1291.23,0.0135
3669.67,0.0355
2406.26,0.0045
1177.01,0.0188
1078.19,0.0043
1226.84,0.0086
1322.90,0.0012
359.20,0.0011
1289.12,0.0285
1512.37,0.0172
1233.06,0.0008
2162.57,0.0038
1137.53,0.0411
2991.68,0.0095
3375.17,0.0087
3248.51,0.0154
2239.33,0.0014
1422.16,0.0159
1967.81,0.0095
491.48,0.0039
3330.19,0.0008
2841.01,0.0173
1725.43,0.0147
2236.46,0.0133
2901.52,0.0089
1947.99,0.0071
1896.71,0.0063
294.27,0.0821
3319.39,0.0070
1719.42,0.0374
1378.17,0.0116
2719.54,0.0091
2251.21,0.0081
3874.21,0.0041
1249.41,0.0537
1597.54,0.0000
620.56,0.0273
1349.59,0.0344
763.80,0.0099
2803.46,0.0030
1183.99,0.0082
3782.09,0.0037
2749.32,0.0166
2751.37,0.0218
1164.91,0.0073
1966.60,0.0192
2808.02,0.0065
675.48,0.0064
603.37,0.0160
630.25,0.0018
291.23,0.0218
2072.62,0.0100
1451.92,0.0001
801.08,0.0064
1231.77,0.0059
429.92,0.0146
2683.07,0.0046
896.25,0.0012
2362.37,0.0056
1676.10,0.0098
624.12,0.0007
2485.16,0.0100
2030.42,0.0350
764.76,0.0102
1655.83,0.0022
1652.03,0.0206
2229.21,0.0003
2064.91,0.0080
979.21,0.0308
1323.78,0.0136
2457.19,0.0142
1420.52,0.0316
2165.96,0.0050
942.84,0.0115
2141.63,0.0104
930.60,0.0226
744.90,0.0554
2132.05,0.0157
914.00,0.0276
3219.94,0.0055
2985.98,0.0643
1305.93,0.0067
2738.31,0.0092
1408.05,0.0223
2048.32,0.0317
3325.64,0.0011
1288.71,0.0166
576.26,0.0212
1128.26,0.0002
326.96,0.0030
1216.57,0.0037
1398.15,0.0019
1439.62,0.0000
771.79,0.0243
2210.03,0.0178
3758.50,0.0012
2260.60,0.0449
878.64,0.0229
1391.92,0.0970
85.03,0.0169
1160.99,0.0161
660.07,0.0138
1407.73,0.0001
923.97,0.0070
1229.62,0.0171
774.77,0.0231
1457.41,0.0052
2760.84,0.0127
1485.15,0.0357
1510.52,0.0271
1246.80,0.0166
493.54,0.0229
2091.93,0.0003
702.51,0.0349
892.57,0.0099
578.98,0.0045
896.90,0.0009
2044.08,0.0329
1547.62,0.0030
1568.65,0.0114
1801.99,0.0176
3293.01,0.0022
147.51,0.0000
1192.90,0.0023
2558.43,0.0329
750.87,0.0085
1791.12,0.0123
743.31,0.0048
785.81,0.0196
2778.43,0.0281
2565.10,0.0045
369.84,0.0047
3728.68,0.0243
396.64,0.0010
1093.44,0.0175
2459.47,0.0278
788.68,0.0169
1285.36,0.0038
1056.55,0.0128
464.21,0.0254
4543.70,0.0069
2186.06,0.0375
3447.44,0.0093
1496.83,0.0087
1008.13,0.0015
1059.64,0.0012
2182.54,0.0033
880.10,0.0000
811.90,0.0049
1057.76,0.0013
1810.00,0.0061
390.61,0.0071
1341.42,0.0477
2806.74,0.0419
2128.78,0.0260
2235.29,0.0057
1985.28,0.0017
2758.96,0.0215
2666.51,0.0250
367.50,0.0029
1037.22,0.0114
3403.92,0.0215
1030.78,0.0188
833.19,0.0087
1595.57,0.0190
2182.87,0.0000
1299.68,0.0085
420.39,0.0104
555.81,0.0018
1395.31,0.0111
2035.69,0.0079
2044.38,0.0256
316.05,0.0009
407.67,0.0013
3054.64,0.0242
1833.34,0.0049
2033.91,0.0063
192.02,0.0100
3002.75,0.0000
2614.26,0.0908
2470.97,0.0084
2728.81,0.0052
2016.62,0.0060
2094.45,0.0654
1445.87,0.0375
3167.42,0.0190
1444.14,0.0150
2384.42,0.0303
2492.11,0.0260
1430.75,0.0068
1027.83,0.0154
1458.85,0.0073
1926.97,0.0561
2187.08,0.0085
585.55,0.0171
864.22,0.0292
70.27,0.0015
1272.82,0.0253
1715.85,0.0017
